"","text","score"
"3",jeann darc a holi maiden whose light shine oh bright bring warmth gather around,1
"6",dant jeann darc perhap enter fast move transport method like howev,1
"7",jeann darc alter year old never learn fuck read,0
"8",a dark hero rise ulyss jeann darc alchemi knight tv anim trailer nsfwish,0.5
"11",whhhhat realli ew i open account jeann darc s also credit union pretti simpl sign well,1
"12",her execution geoffroy thérage later declar great fear damn in sens sad,0.25
"20",veri nice fategrand orderjeann darc joan arc fan art krishna balram banerje aka,1
"21",bioshock infinit detroit becom human dawn hato boyfriend jeann darc,1
"26",jeann darc did mean alter goth version shes realli cool,1
"27",a dark hero rise ulyss jeann darc alchemi knight tv anim trailer nsfwish,0.5
"28",a dark hero rise ulyss jeann darc alchemi knight tv anim trailer nsfwish,0.5
"33",to fair i think jeann darc ever threw dolphin irl either,1
"35",veri nice fategrand orderjeann darc joan arc fan art krishna balram banerje aka,1
"43",a dark hero rise ulyss jeann darc alchemi knight tv anim trailer nsfwish,0.5
"53",master ill partak summer festiv as attir i research brought mani p,1
"55",a dark hero rise ulyss jeann darc alchemi knight tv anim trailer nsfwish,0.5
"57",a dark hero rise ulyss jeann darc alchemi knight tv anim trailer nsfwish,0.5
"58",a dark hero rise ulyss jeann darc alchemi knight tv anim trailer nsfwish,0.5
"59",a dark hero rise ulyss jeann darc alchemi knight tv anim trailer nsfwish,0.5
"60",crunchyrolla dark hero rise ulyss jeann darc alchemi knight tv anim trailer nsfwish,0.5
"61",a dark hero rise ulyss jeann darc alchemi knight tv anim trailer nsfwish,0.5
"62",kotobukiya fateapocrypha ruler jeann darc casual ver srp p preorder deadlin sep eta mar,0
"65",jeann darc alter year old never learn fuck read,0
"66",persona radiata stori street rage jeann darc smt nocturn,0
"68",it awesom pretti fun challeng fun everyon die they ok die,0.5
"70",love jeann much here come my jeann lovemail essay even fate ive alway love figur,1
"71",dant jeann darc perhap enter fast move transport method like howev,1
"72",jeann darc a holi maiden whose light shine oh bright bring warmth gather around,1
"74",small brain prefer goodi twosho chuuni tsunder edgelord interpret jeann darc fgo big brain prefer,1
"75",small brain prefer goodi twosho chuuni tsunder edgelord interpret jeann darc fgo big bra,1
"77",well togeth jeann darc i shall get start revolut,1
"78",alma i love jeann darc the one can date best end yoooooooooooooooo lmao,1
"79",jeann darc alter year old never learn fuck read,0
"80",jeann darc alter year old never learn fuck read,0
"82",team jeann darc alter a brute forc servant team content leader strong wit,0.5
"83",erika just beam posit i love everi second ann kaed kyoko jeann,1
"85",jeann darc santa lili it nice meet ya mr vertelli lili smile happili,1
"87",road work septemb th th crack seal eb transit lane montreal rd jeann darc blvd o,0.5
"88",i like video fateapocrypha shirou kotomin kill darnic vlad iii meet jeann darc eng,0.5
"89",ador show we will fall winter collect jeann darc live well vi,0.5
"90",to do list brew coffe master leav desk earli morn refus acknowledg hint i made,1
"91",to do list brew coffe master leav desk earli morn refus acknowledg hint,1
"92",was tempt gotten now medea lili i know i gotten np np jeann darc illya event,1
