"","text","score"
"1",im start feel overdos heaven bliss par big arm remix sonic generat ds littl better,1
"3",rooftop run modern sonic generat,1
"5",yeah okay sonic generat splatoon octo expans overwatch advanc war dual strike crypt necrodanc,0
"6",tbh sonic forc mod tri make game harder terribl like one lumin forest one manag t,1
"8",sonic all star race transform sonic generat tekken timesplitt medal honor european assault,0.5
"9",ps legend dragoon n majora mask dreamcast sonic adventur ps devil may cri gamecub pokemon channel x,0
"10",ps legend dragoon n majora mask dreamcast sonic adventur ps devil may cri gamecub pokemon chann,0
"11",chemic plant modern sonic generat,1
"12",super mario odyssey sonic generat rayman legend crash warp smash brawl,0.25
"14",go live blue blur sonic generat come join chaotic platform favourit hed,0
"15",go live blue blur sonic generat come join chaotic platform favourit hed,0
"16",ps metal gear solid n super mario dreamcast sonic adventur ps wwe smackdown vs raw gamecub luigi,1
"17",hi im jun sound directorcompos sega ive work game almost year ship sonic adventu,1
"18",go live blue blur sonic generat come join chaotic platform favourit,0
"20",i think everi game sinc generat gotten bland mania asid one best thing,0.333333333333333
"22",tbh sonic forc mod tri make game harder terribl like one lumin forest one manag t,1
"23",if i critiqu sonic generat like citi base level i think bit,1
"25",my favorit exampl silent protagonist classic sonic especi new anim short o,1
"26",sonic spring yard zone sonic fli batteri zone sa metal harbor hero frog forest son,1
"27",ps metal gear solid n super mario dreamcast sonic adventur ps wwe smackdown vs raw gamec,1
"28",metal gear solid walk dead season sonic generat super smash bros team fortress,0.5
"30",smash sonic generat zelda twilight princess pokemon black celest,0
"31",danc danc revolut super smash brother wii u counter strike sourc sonic generat forza horizon,0.333333333333333
"32",shifter x sonic generat part perfect chao,1
"34",sonic generat overwatch super smash bros one piec pirat warrior super mario sunshin,0.666666666666667
"36",shifter x sonic generat part seasid hill shadow rival battl,0
"37",revis list sonic soundtrack sonic remix sonic mania soundtrack sonic remix,0
"38",rooftop run sonic generat modern,1
"39",hard jungl joyrid sonic unleash day modern crisi citi generat close second,0.333333333333333
"40",tbh sonic forc mod tri make game harder terribl like one lumin forest one manag t,1
"41",klonoa door phantomil sonic generat oneshot cave stori parappa rapper,0
"42",crisi citi modern sonic generat,1
"43",persona kirbi super star ultra super smash bros mele breath the wild sonic generat,0.5
"45",im live stream some sonic generat come show some love lt,1
"47",marvel vs capcom infinit sonic generat dmc devil may cri incred hulk ultim destruct metal gear risin,0.5
"48",im live stream some sonic generat come show some love lt,1
"50",smash ultim sonic generat mario galaxi undertal ml bowser insid stori,0
"51",im live stream some sonic generat come show some love lt,1
"52",im live stream some sonic generat come show some love lt,1
"54",monster hunter generat ultim kid icarus upris sonic xenoblad chronicl x super mari,0.5
"56",tbh sonic forc mod tri make game harder terribl like one lumin forest one manag t,1
"59",sonic generat make better modern sonic color full rather uninspir d sectio,1
"60",i love generat color fun adventur era sonic unriv heck first sonic p,0.666666666666667
"61",a hat time oneshot sonic generat breath wild kirbi return dreamland,0.5
"62",game que definem undertal cuphead overwatch dragon ball xenovers sonic forc mania ou generat,0
"64",metroid prime sonic generat devil may cri mega man x resid evil,0
"65",hot wheel veloc x sonic generat shanta halfgeni hero burnout paradis lego dimens,1
"67",probabl super mario d world uniron sonic generat kirbi return dreamland gta wink mario,1
"69",sonic generat no more hero bayonetta scott pilgrim vs the world burnout takedown,1
"72",prey doom sonic generat shadow tactic blade shogun compani hero,0.5
"73",tbh sonic forc mod tri make game harder terribl like one lumin forest one,1
"74",i ad video playlist citi escap classic sonic generat ost,1
"75",i ad video playlist citi escap modern sonic generat ost,1
"77",ps abe oddyse n majora mask dreamcast sonic adventur ps god war gamecub super mario sunshin xbox,1
"79",oh god mani i forgot stardew valley jojo fashion style savvi sonic generat has benn hero,1
"80",i know can sonic silver cheer sonic sonic generat,1
"81",ps abe oddyse n majora mask dreamcast sonic adventur ps god war gamecub super mario sunshin,1
"83",i like video citi escap classic sonic generat ost,1
"85",twinsan isnt even favourit crash game neither generat sonic although come veri damn cl,0
"86",dragon ball xenovers metal gear rise reveng sonic adventur generationsunleash tekken lego mar,0
"87",i like video sonic generat pc ami rose hang castl mod,0.5
"89",hi im jun sound directorcompos sega ive work game almost year ship sonic adventu,1
"90",sonic unleashedgener kirbi squeak squad jet set radio ssx under night inbirth exe latest,0
"91",i realli bad feel sonic forc moment classic sonic show first,0.5
"92",sonic all star race transform sonic generat tekken timesplitt medal honor european assault,0.5
"93",sonic generat virtual boy edit gotta go fast black d,1
"94",sonic generat persona super smash bros wii u dragon ball fighterz sonic mania,0.333333333333333
"95",sonic generat persona super smash bros wii u dragon ball fighterz sonic mania,0.333333333333333
"99",sonic generat persona spiderman telltal the walk dead star war knight old republ,0
"102",lego dimens doctor who the etern clock super mario galaxi marvel strike forc sonic generat,0.666666666666667
"103",banjokazooietooi pokemon hgss anim cross new leaf kirbi super star ultra sonic generat,1
"104",generat split path i know insan concept modern sonic game,0.5
"106",xenoblad persona kid icarus upris smash bros brawl sonic generat,0
"108",ps parappa rapper n wcwnwo reveng dreamcast sonic adventur ps dead aliv hardcor gamec,0
"110",metal gear rise reveng ani f game horizon zero dawn sonic generat doctor who the etern clock,1
"112",good nike support colin kaepernick time brand lack polit courag someth futur generat,0.666666666666667
"114",pacman world super smash bros brawl sonic generat kid icarus upris freedom planet,0.666666666666667
"115",ani pokemon game sonic generat overwatch super mario world ani smash game,0.5
"116",transform fall of cybertron probabl one turbo dismount muddi height yes im realli t,0
"121",hi im jun sound directorcompos sega ive work game almost year ship sonic adventu,1
"123",super meat boy sonic generat minecraft the walk dead season furi,0.5
"124",super meat boy sonic generat minecraft the walk dead season furi,0.5
"127",halo saint row sonic generat assassin creed trial evolut,0.5
"128",im lot fun sonic generat brother bought i realli want thank,1
"130",resid evil detroit becom human resid evil resid evil sonic generat,0
"131",generat it remind i love play sonic game got back franchis go,1
"135",generat brought awesom level design fun gameplay mechan fine stori sonic color,1
"136",crash bandicoot crash twinsan ratchet clank sonic generat splatoon,0
"138",pokémon mysteri dungeon explor sky sonic generat kirbi return dreamland shovel knight sup,0.5
"140",i tri play generat one point i hate write level design much i sold back ga,0
"141",okami the elder scroll skyrim monster hunter generat sonic adventur pokemon mysteri dungeon,0
"142",tale symphonia yakuza dynasti warrior xl super crate box sonic generat,1
"147",sonic generat heinous foulsmel,0
"151",resid evil detroit becom human resid evil resid evil sonic generat,0
"152",sonic generat sonic color sonic hedgehog mario kart delux luigi mansion dark moon,0
"153",ps parappa rapper n wcwnwo reveng dreamcast sonic adventur ps dead aliv hardco,0
"156",super mario odyssey shanta half geni hero super smash bros ultim crash bandicoot n,0.6
"158",sonic generat imposs racist,0
"163",super mario sonic generat super meat boy burnout paradis psycho waluigi,1
"164",sonic unleash sonic advanc mother pokemon hgss sonic generat,0
"165",sonic mania super metroid wind waker amr sonic generat,0.5
"169",paper mario ttyd sonic adventur dx monster hunter generat ultim splatoon xenoblad chronicl,0
"170",sonic generat super paper mario persona kirbi super star ultra fire emblem awaken,1
"177",kid icarus upris night wood danganronpa v kill harmoni sonic generat fire emblem awaken,0
"178",been replay sonic generat ps late man still realli fun just blast level i f,1
"180",hi im jun sound directorcompos sega ive work game almost year ship sonic adventu,1
"182",hi im jun sound directorcompos sega ive work game almost year ship sonic adventu,1
"189",hi im jun sound directorcompos sega ive work game almost year ship sonic adventu,1
"190",sonic mania loz breath wild mother sonic generat smash,0
"192",i love generat color both good differ way but alway gonna prefer d sonic,1
"196",generat mod recycl gameplay i also like sonic color,1
"203",brave default sonic mania sonic generat xenoblad chronicl rhythm heaven,0.666666666666667
"204",metal gear rise gta v sonic generat marvel nemesi rise of the imperfect super smash bros m,0.5
"222",sonic generat blazblu centralfict kingdom heart ii age empir ii metroid zero miss,0
"224",top sonic game adventur generat hero adventur dont hate,0.666666666666667
"225",i like video mission emerald beach sonic generat ost,1
"226",sonic mania sonic generat mario ani smash game mario odyssey,0
"229",aww like sonic color generat lol,1
"230",grand theft auto san andrea grand theft auto v super mario odyssey sonic generat super mario,1
"231",i want sonic generat style sonic game instead best icon stage i want worst one e,0.5
"232",kingdom heart smash bros seri cant choos lol sonic rider zero graviti sonic generat sonic unleash,0
"234",shovel knight kirbi super star ultra sonic adventur dx super smash bros ani sonic generatio,0.666666666666667
"235",sonic adventur sonic generat super mario galaxi conker bad fur day dkc tropic freez,0.5
"236",generat sky sanctuari act singl best zone d sonic,1
"237",green hill classic sonic generat,1
"238",sonic top tier can take multipl target fast reflex tremend,1
"239",sonic generat basic fan gameservic includ big varieti level top tear sonic game,1
"240",skullgirl sonic generat unreal killer instinct shanta halfgeni hero,0.666666666666667
"242",color i cant stand classic sonic modern game i hate generat forc,0.666666666666667
"243",sonic generat whi better gameplay better music somewhat enjoy stori better g,1
"244",super robot war x sonic generat adventur starfox adventur smash wii u golden sun s,0.666666666666667
"246",the legend zelda breath wild unchart among thiev sonic generat super mario galaxi yakuza,0.5
"247",i like video citi escap modern sonic generat ost,1
"249",i feel like i need add other honor mention bc i love well donkey kong countri return s,1
"250",sonic generat professor layton super smash bros mega man shovel knight,0.5
"251",super mario world doom sonic generat resid evil fallout new vega,0.25
"256",bbtag sonic knuckl monster hunter generat ultim project diva futur tone splatoon,0
"257",hi im jun sound directorcompos sega ive work game almost year ship sonic adventu,1
"258",ok tuff one sonic generat brother spongebob boat bash,0
"259",i ad video playlist termin veloc classic remix sonic generat,1
"260",this model obvious rip straight sonic generat hurt point effort stage,0
"261",super mario bros mega man x roller coaster tycoon tale vesperia sonic generat,1
"262",hi im jun sound directorcompos sega ive work game almost year ship sonic adventu,1
"266",generat faster involv d color d game d section cher,1
"267",vs perfect chao open your heart sonic generat,1
"268",megaman x shanta pirat curs nier automata vampir savior sonic generat,1
"269",generat mixtur make sonic great,1
"270",fave version eggman generat sonic boio,1
"271",these favorit game song sonic generat pokemon red new super mario bros wii,1
"272",harri potter ps lego indiana jone sonic generat just classic part portal pokemon picross,1
"273",nier automata sonic generat kid icarus upris metal gear solid dark soul,0.5
"275",generat better level design less blocki the d section great also fa,1
"276",devil may cri capcom vs snk sonic generat dragon ball fighterz mario luigi bowser i,0
