"","text","score"
"1",want spend day like true norseman head week draken harald hårfagr worl,1
"3",vike jv footbal lead lyndon halftim,1
"4",good luck volleybal vike pride,1
"6",it carri solid fear factor,0.5
"7",dont make uber limp,0
"11",vike royalti thick mm chainmaill necklac snarl wolf head end larg beauti sculptur thor,0
"12",mj adam strip ball run td freshmen vike board camdenton lead,1
"13",get compass shirt i screen print and get sign preacher six postcard it good luck,1
"14",leftist lost damn mind,0
"15",i honor god hammer win chill book reader award thank reader,0.8
"16",everyon get to mehal thursday it vike pride event,1
"17",everyon get to mehal thursday it vike pride event,1
"18",love the brit great day wander plus can go,1
"22",boy soccer road play strong unit team fall josh wood assist jake mccartney lone vikin,0.333333333333333
"24",vike peaki blinder ozark lockup raw love prison shit last man earth amazon prime s hilari,0.333333333333333
"25",boy soccer road play strong unit team fall josh wood assist jake mccartney lone vike goal,0.333333333333333
"28",top yoga teach teacher train buddi joehouz aist bring onlin c,1
"30",viewmont sbos take muchneed day theyv work hard last week just need break,0.333333333333333
"31",most us will agre were kind jerk,0
"32",when life come fast,1
"34",insult worthless the idea differ block p,0
"35",men varsiti water polo end nd period great job men,1
"37",churchi congratul old boy john millman great win vs the master us open great vike spirit,1
"39",cool look kinda like vike man just need head tattoo ritual sacrific,1
"40",jv men water polo great day vike,1
"41",congrat coach armour girl great day vike,1
"42",lol game year ago my vike game i went worst season,0
"43",varsiti men water polo warm take oakwood go vike,1
"45",love st loui counti librari prairi common,1
"46",in case miss saturday home open make sure get s remain home game down east vike foo,0
"48",for refresh beverag establish sport event,1
"51",sep vike land mar,0
"52",liber like tell america flaganthem intend disrespect m,0.5
"53",short rang i feel bit anachronist renaiss fair,1
"57",some comtess might knock pasti face major tri say hello,0
"60",that smart bet,1
"61",great st loui counti librari prairi common,1
"62",good luck volleybal vike pride,1
"66",if miss first season metv rerun john mccain funer next week,0
"70",one amaz remix singerwomen vice hear first time kelli sweet,0.5
"75",ohhhhh pack has no defens mr antivik stop whine barr legal hit rodger,0
"77",it halftim vike will come back stronger second half let go vike,1
"81",but click career let go vike great qu,1
"82",when i gone will tell tale time i lost iron sword,0
"85",giveaway new glove arriv just time new season rt follow chanc catch pair win,1
"86",last day labor day limit time offer tiger eye rune wealth power check shop,0
"87",now one hell vike,0
"88",without doubt rune spirit make learn easi,0
"89",safeti tip men never come bust time els combust,0
"92",on vike ish play for honor,1
"93",i enjoy angl convers,1
"94",live like spartan alway get rise like phoenix free like vike enjoy luxuri like old egyptian,1
"95",that depend communiti the perfect es,1
"96",vike footbal fall season open,0
"97",techno vike will never die,0
"98",ive got someth cool avail shop right now go check link bio celtichammerclub,1
"100",rough quick doodl enjoy,0.5
"103",vintag vike green glass flowerlit flower bowl vase clear frog insert ebay,1
"105",spoken like true vike fan,1
"107",yeah realli brought brother love nfc champion,1
"108",cap one hot day great soccer match perri high school boy soccer team hoover vik,1
"111",bro jacket fuck ssstylish,0
"112",men varsiti water polo end nd period great job men,1
"113",lydia dress like vike forese futur celebr trillianstar go norway various h,1
"116",realli though coincid vike ship look like spine,1
"117",last day labor day limit time offer tiger eye rune wealth power check shop,0
"119",top hero knight peacekeep assassin top samurai nobushi hybrid top vike berserk assassin top,0.625
"120",if ingmar bergman still aliv given movi make youtub video like asmr reckless vike,0.5
"121",last day labor day limit time offer tiger eye rune wealth power check shop,0
"122",have get masterwork core everyth game now kinda suck is normal i upgr,0
"123",last day labor day limit time offer tiger eye rune wealth power check shop,0
"124",wish yu wonder moment vike peopl kiss,1
"125",here week schedul vike athlet free admiss,1
"126",last day labor day limit time offer tiger eye rune wealth power check shop,0
"128",vike men golf start fall season first round play ferguson classic oklahoma citi good,0.666666666666667
"129",son king the polit intrigu thirst reveng vike invas eng,0
"130",last day labor day limit time offer tiger eye rune wealth power check shop,0
"131",okay im tell dragon ship sail right left there vike hang n,0.5
"132",last day labor day limit time offer tiger eye rune wealth power check shop,0
"133",last day labor day limit time offer tiger eye rune wealth power check shop,0
"135",help struck unforese misfortun fundament differ make depend way,0
"138",vike xc team make headlin season the team work hard readi run,0.5
"139",if vik vike say good it good,1
"140",hard democrat can stop ascend high court they can delay rough c,0
"141",the hear go postpon complain process get good headlin insid beltway but doe,0.5
"142",camdenton lead freshmen vike end st quarter,1
"143",in sens polit left attempt silenc idea will debat confess intellec,0
"144",vintag vike green glass flowerlit flower bowl vase clear frog insert ebay,1
"146",judg kavanaugh leader gender equal support women workplac more half law clerk ha,1
"147",i want aww yeah meet awkward avoid vike,0
"148",i thought first well now howev i quit canni know will,1
"149",i like,1
"150",it sad bob woodward felt compel write leftw trashbook trump white hous he tri,0.5
"151",ehhhhh upgrad cant hurt,0
"152",amat regrann my hot friend vikingbarbi vikingbarbi,1
"154",so booker just said cant support kavanaugh nomin yet still demand document top,1
"157",beef pizzaoli vik vike review great differ regular pot roast i actual buy,1
"159",pleas rt explor russia vike river cruis the highlight,0
"160",tri entertain myself wait badass halloweenfilt so sick tire alway,0.5
"163",yeah crazi you peopl lost damn mind,0
"164",brett kavanaugh best choic liber reason hope circumst s lisa bla,1
"165",the fire burn,0
"166",robert bennett one presid bill clinton lawyer wrote support judg kavanaugh,1
"167",those familiar judg kavanaugh judici record tempera come away impress here lisa blatt prom,1
"169",your vike fan right lol,1
"174",obama gave zero document senat regard justic kagan time wh but rec,1
"176",feinstein devil,0
"177",condoleezza rice girl birmingham alabama destroy kamala harri accus kavanaugh app,0
"178",let get vp point lead start earli the septemb th boy soccer game vike pride event be,1
"179",well without actual say along line,1
"180",get compass shirt i screen print and get sign preacher six postcard it good luck,1
"181",jv men water polo great day vike,1
"182",i can not believ i onc consid myself a how embarrass kavanaughconfirma,0
"183",it excit josh tv today scandal,0
"184",if parti behav like get control long look like,1
"186",democrat conduct today absolut shame there excus doesnt matter think trump,0.5
"187",win grand european tour river cruis vike,1
"191",mayb someon can now halt bloodsh good riddanc rahm emanuel,1
"199",ive alway hate team,0
"200",conquer vike ash barker invad master conquer buy link gt vike,1
"202",in honor cri chuck schumer constant cock block thing trump bring,1
"206",white hous chief staff general john kelli just crush lib journal hero bob woodward hes liar,0.333333333333333
"208",now that sportmanship u provinci champ a pirat help younger vike,1
"209",while know quot yah probabl take issu rage mob,0
"210",techno vike will never die,0
"214",judg kavanaugh kid escort room due heckler harass just thought dem c,0
"215",you special kind idiot get arrest women right alongsid islamist support,0.666666666666667
"216",svenvik polytron majornelson xboxp yeah sad still pita just stream game pc big scree,0
"218",so brett kavanaugh expect abl identifi everi parkland victim parent shake everyon hand wit,0
"219",varsiti men water polo warm take oakwood go vike,1
"220",nike pick dumb fight freedomlov blood american it lose bad,0
"221",yeah sad still pita just stream game pc big s,0
"222",would interest deve roblox version game for honor you know vike vs knigh,1
"223",a song luke kelli luke howy redser yer hair like sun that frazzl dazzl go bun you,1
"226",jv men water polo great day vike,1
"227",you prog obsess genitalia there skill psychiatrist can help ask nice,0.666666666666667
"228",jv men water polo great day vike,1
"235",leav dick,0
"241",i think just like everyon yell keep good work,1
"242",this tweet incred stupid s hard defin standard definit stupid we need new way defin,0
"244",the nutti stuff see twitter right now kavanaugh disrespect father parkland victim a wh staffer,0.5
"245",a crash cours modern advocaci journal work,0.666666666666667
"249",great vike spirit,1
"251",it almost even i got surpris numer surtl destroy shelter,0
"253",for limit time buy tuff vike trunk organ get sale price tuff vike,0
"254",look get scold outsid window south san francisco littl er told littl vike,0
"255",you win trip two rhine danub river courtesi vike river cruis georgia trave,1
"256",don shaw score first seri win season last weekend tradit lab,1
"257",veri disappoint tonight found even sponsor watch wire now,0
"258",dude im sorri i tri collect em i leav bunk sometim i leav behind pleas h,0
"260",wow bo look vike metal long hair,1
"266",it patriot though eagl talent nfc will gauntlet season eagl sai,1
"267",the best part watch nike trick democrat socialist scream fuck capitali,0.25
"268",show district love sportsmanship spirit competit today match ridg view,1
"270",that tracker cankl start itch,0
"271",vike land surfac mar took utopian plain,0
"273",handmad vike celtic rune nors ax pendant bracelet leather wristband for men onli jewelri,0
"278",sen lindsey graham democrat you cant lose elect pick judg,0
"279",i take back almost everyth bad i ever said,0
"285",handmad vike celtic rune nors ax pendant bracelet leather wristband for men onli jewelri,0
"286",ladi gentlemen this warn the stupid virus spread spread rapid pleas sake humank,0.25
"287",life mar year later vike lander scientist still say yes,0
"288",i like video make a vike sword part,1
"293",handmad vike celtic rune nors ax pendant bracelet leather wristband for men onli jewelri,0
"298",pretti mad now i give old worn hyperdunk vike funer deserv without look racist,0
"299",my favorit vike kill titan shizzlego love,0.5
"302",ragnar strong vike now kitten close death thank lot work love abl,0.8
"303",this real headlin daili beast trump derang syndrom get wors,1
"304",i swear king great valu need entir stack,1
"308",vike ship can fun,1
"309",happen next week martin goldberg i will free public chat from roman bribe vike trea,1
"310",i love think im hidden gem internet now i dont stream it like congratul stumbl upon twi,1
"313",ragnar strong vike now kitten close death thank lot work love abl,0.8
"314",like vike,1
"315",yes can u just obvious hard ti,0
"317",techno vike will never die,0
"318",comrad come us protect home bolshev fight ssdivis vike,1
"320",deadlift america strongest vike this event nd i realli experi,1
"321",love new golf bag ladi sport thank hard work booster club ladi look g,0.75
"324",ragnar strong vike now kitten close death thank lot work love abl,0.8
"325",had idea hope doesnt give rose bad name ive start,0
"328",wow everyon can tell vike clear someth els ur mind,1
"333",either punch come,0
"334",unerhört vike metal aus mortuorium die to reborn,0
"335",i like,1
"337",i loot deer,0
"340",thank s first time draw aircraft pretti pleas way s go far,0.5
"344",you support it vike theme dnd game ttrpg htt,1
"347",you support it vike theme dnd game ttrpg htt,1
"354",thank fantast year brian easili one favorit vike lifetim his abil combin c,1
"355",two love ship visit tomorrow vike sun newhaven prinsendam rosyth lot excurs,1
"359",i wonder gutenberg approach broward sheriff way ask didnt protect children,1
"361",i excit terrifi look ahead run vike backgammon classic week,1
"362",na vike dead get season ll agre,0
"364",i want let know guid adam gdask also good i get fill review,1
"365",yeah saw grandstand approach children led sa,1
"367",vegan like breakfast berri smoothi lunch veggi wrap hummus fresh press juic dinner beyond burg,1
"368",valley ladi golf burn cours today ridgeview love sound,0.5
"369",figur hammer guy i wonder verum,1
"370",valley ladi golf burn cours today ridgeview love sound,0.5
"373",techno vike will never die,0
