"","text","score"
"1",just love zelina vega talk thank but alma v bryan babi go,1
"2",soooo finish let better everyon scream differ direct,0.5
"6",they fun last week now wanna som,1
"7",but guy split finn sasha,0
"8",so nice happen twice w take w brie next,1
"9",you is new episod start right now brie,1
"11",i guess make sens win team though,1
"12",pleas dont let brie back ring,0
"17",zelina daniel bryan brie bella star tv show total bore zelina channel univers,0
"18",so nice happen twice w take w brie next,1
"19",the danger man right now wwe,0.5
"20",exclus new took bad blood wh,0
"21",break mix match challeng return tuesday septemb reveal ev,0
"22",wwe fan were not racist also wwe fan chant non white person speak broken english,0
"23",charlott aj shit fair lmfao,0.5
"25",special relationship connor michalek will donat towel honor pediatr cancer,0.5
"26",get all detail second season premier tuesday sept exclus watch,1
"27",so nice happen twice w take w brie next,1
"28",so nice happen twice w take w brie next,1
"31",updat refus medic attent suffer beatdown hand,0
"34",coupl showdown alert brie vs,0
"38",shot hot,1
"39",special relationship connor michalek will donat towel honor pediatr cancer,0.5
"40",see the miz look like such a pussi coward with come to an empti arena and then he say he a tough guy,0.666666666666667
"43",special relationship connor michalek will donat towel honor pediatr cancer,0.5
"44",special relationship connor michalek will donat towel honor pediatr cancer,0.5
"45",the danger man right now wwe,0.5
"46",so nice happen twice w take w brie next,1
"48",one day will women wwe tag team champion,1
"50",zelina alma can go back nxt i love daniel,1
"52",tonight match announc plus confront promis champion,0.5
"53",i miss wwe,0
"54",so nice happen twice w take w brie next,1
"55",pleas let go without interfer give us classic know c,0.5
"57",bryan doesnt need win lol,1
"59",fuck chant andrad speak sdlive,0
"60",share word week this week word espi matt recommend new hardi coll,1
"62",break mix match challeng return tuesday septemb reveal ev,0
"64",so nice happen twice w take w brie next,1
"67",coupl showdown alert brie vs,0
"69",bitter sweet i must go alon sink swim i will i dont want anyon take blame o,0.25
"70",it cool get peopl think better one arena,1
"73",scratch mayb wwe dont want brie botch bryan vs alma,0
"74",hell yeah fax miz marys coward,0
"76",fuck chant andrad speak sdlive,0
"79",so nice happen twice w take w brie next,1
"80",so nice happen twice w take w brie next,1
"82",alexa like,1
"87",who els surpris attack the miz happen match start night,0
"89",wwe right thing bayley finn balor aka back,1
"91",wwe chang botch mode mishap raw last night,0
"93",in love thank,1
"94",i good joke wwe tri bring back wwe,0.5
"95",tranquilo time alma versus bryan live ongo wwe smackdown report elit free,1
"97",break mix match challeng return tuesday septemb reveal ev,0
"99",coupl showdown alert brie vs,0
"100",coupl showdown alert brie vs,0
"101",tonight match announc plus confront promis champion,0.5
"102",break mix match challeng return tuesday septemb reveal ev,0
"105",so nice happen twice w take w brie next,1
"107",indi mark probabl gonna promo miz cut empti arena like see get,1
"109",hope lead anoth breakup,0.5
"113",we got rematch last week hope match finish winner,1
"114",so nice happen twice w take w brie next,1
"115",so nice happen twice w take w brie next,1
"116",tonight match announc plus confront promis champion,0.5
"117",coupl showdown alert brie vs,0
"118",talk women wrestl love,1
"119",the danger man right now wwe,0.5
"120",so nice happen twice w take w brie next,1
"121",coupl showdown alert brie vs,0
"122",yea littl rusti get bettermarys still scare,0
"123",coupl showdown alert brie vs,0
"124",about damn time got get em,0
"127",coupl showdown alert brie vs,0
"128",so nice happen twice w take w brie next,1
"129",so nice happen twice w take w brie next,1
"130",brett kavanaugh refus to shake hand of parkland victim father at confirm hear digg,0
"131",i thought quit liar,0
"132",coupl showdown alert brie vs,0
"133",special relationship connor michalek will donat towel honor pediatr cancer,0.5
"134",bitter sweet i must go alon sink swim i will i dont want anyon take blame o,0.25
"135",you is new episod start right now brie,1
"136",these two need slap,0
"137",rtruth carmella partner mix match challeng all right world wwe,1
"138",break mix match challeng return tuesday septemb reveal ev,0
"139",so nice happen twice w take w brie next,1
"142",so nice happen twice w take w brie next,1
"144",you is new episod start right now brie,1
"145",you is new episod start right now brie,1
"146",r truth and carmella should win,1
"148",some team trash feel bad,0
"149",bitter sweet i must go alon sink swim i will i dont want anyon take blame o,0.25
"151",bitter sweet i must go alon sink swim i will i dont want anyon take blame o,0.25
"152",love matur ladi chloe chao need and fuck with a huge black monster cock mov wwe,0.333333333333333
"156",special relationship connor michalek will donat towel honor pediatr cancer,0.5
"157",there around former celebr win current,1
"161",glad great im work write order watch wwe sd you,1
"164",the goddess stori episod stream right now,1
"166",it chavo guerrero poor version oprah,0
"169",coupl showdown alert brie vs,0
"171",kevin owen natalya win,1
"175",so basic say wwe univers lack origin gotcha,0
"177",bitter sweet i must go alon sink swim i will i dont want anyon take blame o,0.25
"179",need brie v zelina wwe hate much,0
"180",student initi volunt opportun meet execut vice presid paul levesqu th,0
"182",god bless,1
"183",coupl showdown alert brie vs,0
"185",if miss announc season,0
"193",coupl showdown alert brie vs,0
"194",get all detail second season premier tuesday sept exclus watch,1
"197",nah brie botch,0
"200",charlott aj go good ring togeth,1
"201",and will better most import accomplish set achiev wil,1
"202",so nice happen twice w take w brie next,1
"203",so nice happen twice w take w brie next,1
"204",so nice happen twice w take w brie next,1
"207",coupl showdown alert brie vs,0
"208",pleas make alma promo english c,0
"210",break hall famer will return ring squar former rival time,0
"211",i like video wwe raw grade septemb the undertak vs shawn michael,1
"212",can i just get real feud alma bryan these last two week show worth,1
"213",so nice happen twice w take w brie next,1
"214",the small cute team,1
"215",coupl showdown alert brie vs,0
"217",you is new episod start right now brie,1
"221",whi didnt you put roman in it this time you coward,0
"222",so nice happen twice w take w brie next,1
"224",she channel aj hard i sometim think is aj,0
"225",special relationship connor michalek will donat towel honor pediatr cancer,0.5
"226",zelina daniel bryan brie bella star tv show total bore zelina channel univers,0
"227",yes bosskur last time ever match wwe super show,1
"229",got say freakin awesom daniel apart kickass wrestler know hype crowd,0
"230",coupl showdown alert brie vs,0
"232",coupl showdown alert brie vs,0
"233",get all detail second season premier tuesday sept exclus watch,1
"234",so nice happen twice w take w brie next,1
"235",the danger man right now wwe,0.5
"236",fuck chant andrad speak sdlive,0
"237",you is new episod start right now brie,1
"238",wwe intro like elabor porno storylin,1
"239",it cool get peopl think better one arena,1
"240",coupl showdown alert brie vs,0
"242",so nice happen twice w take w brie next,1
"243",so nice happen twice w take w brie next,1
"244",so nice happen twice w take w brie next,1
"245",coupl showdown alert brie vs,0
"246",nobodi want botchomania this shit stale af,0
"247",bitter sweet i must go alon sink swim i will i dont want anyon take blame o,0.25
"249",alreadi better crappi hour,1
"250",what bullshit,0
