"","text","score"
"1",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"2",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"3",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"4",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"5",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"6",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"7",now on sale julia donaldson axel scheffler muchlov stori zog keen zog eager win golden star mad,0.8
"8",if golden sun rep got smash isaac felix matthew bore normal grab th,0.333333333333333
"9",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"10",now on sale julia donaldson axel scheffler muchlov stori zog keen zog eager win golden star mad,0.8
"11",newsradio farscap black book rd rock sun golden girl,1
"12",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"13",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"14",now on sale julia donaldson axel scheffler muchlov stori zog keen zog eager win golden star mad,0.8
"15",anybodi seen pit bull dog food chain golden sun insta,1
"16",a golden blanket golden morn mist tuck around tree hope valley peakdistrict,0.666666666666667
"17",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"18",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"19",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"20",discov tip har bright golden hour high contrast midday light new walk sun coll,1
"21",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"22",discov tip har bright golden hour high contrast midday light new walk sun coll,1
"23",god cast golden heart smalltown grouch opposit gugu mbatharaw steelwil ray sun rom,0.5
"24",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"25",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"26",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"27",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"28",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"29",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"30",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"31",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"32",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"33",bulli kingdom heart a time golden sun fire emblem,1
"34",a golden blanket golden morn mist tuck around tree hope valley peakdistrict,0.666666666666667
"35",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"36",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"37",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"38",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"40",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"41",my smash ultim top bandana waddl dee kirbi captain toad mario shanta shant dixi kong dk,0.5
"42",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"43",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"44",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"45",kirbi epic yarn horizon zero dawn west loath anim cross new leaf golden sun,0.666666666666667
"46",leak s say get uniqu newcom echo top alreadi got,0.5
"47",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"48",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"49",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"50",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"51",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
"53",now live use vgo ak flip knife sun burst booster spellbind skin today to celebr r,0.5
